name,pclass,sex,age,fare,survived
"Abbing, Mr. Anthony",3,male,42,7.55,0
"Abbott, Master. Eugene Joseph",3,male,13,20.25,0
"Abbott, Mr. Rossmore Edward",3,male,16,20.25,0
"Abbott, Mrs. Stanton (Rosa Hunt)",3,female,35,20.25,1
"Abelseth, Miss. Karen Marie",3,female,16,7.65,1
"Abelseth, Mr. Olaus Jorgensen",3,male,25,7.65,1
"Abelson, Mr. Samuel",2,male,30,24,0
"Abelson, Mrs. Samuel (Hannah Wizosky)",2,female,28,24,1
"Abrahamsson, Mr. Abraham August Johannes",3,male,20,7.925,1
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",3,female,18,7.2292,1
"Adahl, Mr. Mauritz Nils Martin",3,male,30,7.25,0
"Adams, Mr. John",3,male,26,8.05,0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,female,40,9.475,0
"Aks, Master. Philip Frank",3,male,0.83,9.35,1
"Aks, Mrs. Sam (Leah Rosen)",3,female,18,9.35,1
"Albimona, Mr. Nassef Cassem",3,male,26,18.7875,1
"Aldworth, Mr. Charles Augustus",2,male,30,13,0
"Alexander, Mr. William",3,male,26,7.8875,0
"Alhomaki, Mr. Ilmari Rudolf",3,male,20,7.925,0
"Ali, Mr. Ahmed",3,male,24,7.05,0
"Ali, Mr. William",3,male,25,7.05,0
"Allen, Miss. Elisabeth Walton",1,female,29,211.3375,1
"Allen, Mr. William Henry",3,male,35,8.05,0
"Allison, Miss. Helen Loraine",1,female,2,151.55,0
"Allison, Mr. Hudson Joshua Creighton",1,male,30,151.55,0
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",1,female,25,151.55,0
"Allum, Mr. Owen George",3,male,18,8.3,0
"Andersen, Mr. Albert Karvin",3,male,32,22.525,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",3,female,19,7.8542,1
"Anderson, Mr. Harry",1,male,48,26.55,1
"Andersson, Master. Sigvard Harald Elias",3,male,4,31.275,0
"Andersson, Miss. Ebba Iris Alfrida",3,female,6,31.275,0
"Andersson, Miss. Ellis Anna Maria",3,female,2,31.275,0
"Andersson, Miss. Erna Alexandra",3,female,17,7.925,1
"Andersson, Miss. Ida Augusta Margareta",3,female,38,7.775,0
"Andersson, Miss. Ingeborg Constanzia",3,female,9,31.275,0
"Andersson, Miss. Sigrid Elisabeth",3,female,11,31.275,0
"Andersson, Mr. Anders Johan",3,male,39,31.275,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",3,male,27,7.7958,1
"Andersson, Mr. Johan Samuel",3,male,26,7.775,0
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",3,female,39,31.275,0
"Andreasson, Mr. Paul Edvin",3,male,20,7.8542,0
"Andrew, Mr. Edgardo Samuel",2,male,18,11.5,0
"Andrew, Mr. Frank Thomas",2,male,25,10.5,0
"Andrews, Miss. Kornelia Theodosia",1,female,63,77.9583,1
"Andrews, Mr. Thomas Jr",1,male,39,0,0
"Angheloff, Mr. Minko",3,male,26,7.8958,0
"Angle, Mr. William A",2,male,34,26,0
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",2,female,36,26,1
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",1,female,53,51.4792,1
"Arnold-Franchi, Mr. Josef",3,male,25,17.8,0
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",3,female,18,17.8,0
"Aronsson, Mr. Ernst Axel Algot",3,male,24,7.775,0
"Artagaveytia, Mr. Ramon",1,male,71,49.5042,0
"Ashby, Mr. John",2,male,57,13,0
"Asim, Mr. Adola",3,male,35,7.05,0
"Asplund, Master. Carl Edgar",3,male,5,31.3875,0
"Asplund, Master. Clarence Gustaf Hugo",3,male,9,31.3875,0
"Asplund, Master. Edvin Rojj Felix",3,male,3,31.3875,1
"Asplund, Master. Filip Oscar",3,male,13,31.3875,0
"Asplund, Miss. Lillian Gertrud",3,female,5,31.3875,1
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",3,male,40,31.3875,0
"Asplund, Mr. Johan Charles",3,male,23,7.7958,1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,female,38,31.3875,1
"Assaf Khalil, Mrs. Mariana (""Miriam"")",3,female,45,7.225,1
"Assaf, Mr. Gerios",3,male,21,7.225,0
"Assam, Mr. Ali",3,male,23,7.05,0
"Astor, Col. John Jacob",1,male,47,227.525,0
"Attalah, Miss. Malake",3,female,17,14.4583,0
"Attalah, Mr. Sleiman",3,male,30,7.225,0
"Aubart, Mme. Leontine Pauline",1,female,24,69.3,1
"Augustsson, Mr. Albert",3,male,23,7.8542,0
"Ayoub, Miss. Banoura",3,female,13,7.2292,1
"Baccos, Mr. Raffull",3,male,20,7.225,0
"Backstrom, Mr. Karl Alfred",3,male,32,15.85,0
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,female,33,15.85,1
"Baclini, Miss. Eugenie",3,female,0.75,19.2583,1
"Baclini, Miss. Marie Catherine",3,female,5,19.2583,1
"Baclini, Mrs. Solomon (Latifa Qurban)",3,female,24,19.2583,1
"Badman, Miss. Emily Louisa",3,female,18,8.05,1
"Badt, Mr. Mohamed",3,male,40,7.225,0
"Bailey, Mr. Percy Andrew",2,male,18,11.5,0
"Baimbrigge, Mr. Charles Robert",2,male,23,10.5,0
"Balkic, Mr. Cerin",3,male,26,7.8958,0
"Ball, Mrs. (Ada E Hall)",2,female,36,13,1
"Banfield, Mr. Frederick James",2,male,28,10.5,0
"Barah, Mr. Hanna Assi",3,male,20,7.2292,1
"Barbara, Miss. Saiide",3,female,18,14.4542,0
"Barbara, Mrs. (Catherine David)",3,female,45,14.4542,0
"Barber, Miss. Ellen ""Nellie""",1,female,26,78.85,1
"Barkworth, Mr. Algernon Henry Wilson",1,male,80,30,1
"Barry, Miss. Julia",3,female,27,7.8792,0
"Barton, Mr. David John",3,male,22,8.05,0
"Bateman, Rev. Robert James",2,male,51,12.525,0
"Baxter, Mr. Quigg Edmond",1,male,24,247.5208,0
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,female,50,247.5208,1
"Bazzani, Miss. Albina",1,female,32,76.2917,1
"Beane, Mr. Edward",2,male,32,26,1
"Beane, Mrs. Edward (Ethel Clarke)",2,female,19,26,1
"Beattie, Mr. Thomson",1,male,36,75.2417,0
"Beauchamp, Mr. Henry James",2,male,28,26,0
"Beavan, Mr. William Thomas",3,male,19,8.05,0
"Becker, Master. Richard F",2,male,1,39,1
"Becker, Miss. Marion Louise",2,female,4,39,1
"Becker, Miss. Ruth Elizabeth",2,female,12,39,1
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",2,female,36,39,1
"Beckwith, Mr. Richard Leonard",1,male,37,52.5542,1
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,female,47,52.5542,1
"Beesley, Mr. Lawrence",2,male,34,13,1
"Behr, Mr. Karl Howell",1,male,26,30,1
"Bengtsson, Mr. John Viktor",3,male,26,7.775,0
"Bentham, Miss. Lilian W",2,female,19,13,1
"Berglund, Mr. Karl Ivar Sven",3,male,22,9.35,0
"Berriman, Mr. William John",2,male,23,13,0
"Betros, Mr. Tannous",3,male,20,4.0125,0
"Bidois, Miss. Rosalie",1,female,42,227.525,1
"Bing, Mr. Lee",3,male,32,56.4958,1
"Bird, Miss. Ellen",1,female,29,221.7792,1
"Birkeland, Mr. Hans Martin Monsen",3,male,21,7.775,0
"Birnbaum, Mr. Jakob",1,male,25,26,0
"Bishop, Mr. Dickinson H",1,male,25,91.0792,1
"Bishop, Mrs. Dickinson H (Helen Walton)",1,female,19,91.0792,1
"Bissette, Miss. Amelia",1,female,35,135.6333,1
"Bjorklund, Mr. Ernst Herbert",3,male,18,7.75,0
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,male,28,26.55,1
"Blackwell, Mr. Stephen Weart",1,male,45,35.5,0
"Blank, Mr. Henry",1,male,40,31,1
"Bonnell, Miss. Caroline",1,female,30,164.8667,1
"Bonnell, Miss. Elizabeth",1,female,58,26.55,1
"Borebank, Mr. John James",1,male,42,26.55,0
"Bostandyeff, Mr. Guentcho",3,male,26,7.8958,0
"Botsford, Mr. William Hull",2,male,26,13,0
"Boulos, Master. Akar",3,male,6,15.2458,0
"Boulos, Miss. Nourelain",3,female,9,15.2458,0
"Bourke, Mr. John",3,male,40,15.5,0
"Bourke, Mrs. John (Catherine)",3,female,32,15.5,0
"Bowen, Miss. Grace Scott",1,female,45,262.375,1
"Bowen, Mr. David John ""Dai""",3,male,21,16.1,0
"Bowenur, Mr. Solomon",2,male,42,13,0
"Bowerman, Miss. Elsie Edith",1,female,22,55,1
"Bracken, Mr. James H",2,male,27,13,0
"Bradley, Miss. Bridget Delia",3,female,22,7.725,1
"Brady, Mr. John Bertram",1,male,41,30.5,0
"Braf, Miss. Elin Ester Maria",3,female,20,7.8542,0
"Brandeis, Mr. Emil",1,male,48,50.4958,0
"Braund, Mr. Owen Harris",3,male,22,7.25,0
"Brobeck, Mr. Karl Rudolf",3,male,22,7.7958,0
"Brocklebank, Mr. William Alfred",3,male,35,8.05,0
"Brown, Miss. Amelia ""Mildred""",2,female,24,13,1
"Brown, Miss. Edith Eileen",2,female,15,39,1
"Brown, Mr. Thomas William Solomon",2,male,60,39,0
"Brown, Mrs. James Joseph (Margaret Tobin)",1,female,44,27.7208,1
"Brown, Mrs. John Murray (Caroline Lane Lamson)",1,female,59,51.4792,1
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",2,female,40,39,1
"Bryhl, Miss. Dagmar Jenny Ingeborg ",2,female,20,26,1
"Bryhl, Mr. Kurt Arnold Gottfrid",2,male,25,26,0
"Buckley, Miss. Katherine",3,female,18.5,7.2833,0
"Buckley, Mr. Daniel",3,male,21,7.8208,1
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1,female,60,76.2917,1
"Burke, Mr. Jeremiah",3,male,19,6.75,0
"Burns, Miss. Elizabeth Margaret",1,female,41,134.5,1
"Burns, Miss. Mary Delia",3,female,18,7.8792,0
"Buss, Miss. Kate",2,female,36,13,1
"Butler, Mr. Reginald Fenton",2,male,25,13,0
"Butt, Major. Archibald Willingham",1,male,45,26.55,0
"Byles, Rev. Thomas Roussel Davids",2,male,42,13,0
"Bystrom, Mrs. (Karolina)",2,female,42,13,1
"Cacic, Miss. Manda",3,female,21,8.6625,0
"Cacic, Miss. Marija",3,female,30,8.6625,0
"Cacic, Mr. Jego Grga",3,male,18,8.6625,0
"Cacic, Mr. Luka",3,male,38,8.6625,0
"Calderhead, Mr. Edward Pennington",1,male,42,26.2875,1
"Caldwell, Master. Alden Gates",2,male,0.83,29,1
"Caldwell, Mr. Albert Francis",2,male,26,29,1
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",2,female,22,29,1
"Calic, Mr. Jovo",3,male,17,8.6625,0
"Calic, Mr. Petar",3,male,17,8.6625,0
"Cameron, Miss. Clear Annie",2,female,35,21,1
"Canavan, Miss. Mary",3,female,21,7.75,0
"Canavan, Mr. Patrick",3,male,21,7.75,0
"Candee, Mrs. Edward (Helen Churchill Hungerford)",1,female,53,27.4458,1
"Cann, Mr. Ernest Charles",3,male,21,8.05,0
"Carbines, Mr. William",2,male,19,13,0
"Cardeza, Mr. Thomas Drake Martinez",1,male,36,512.3292,1
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",1,female,58,512.3292,1
"Carlsson, Mr. August Sigfrid",3,male,28,7.7958,0
"Carlsson, Mr. Carl Robert",3,male,24,7.8542,0
"Carr, Miss. Helen ""Ellen""",3,female,16,7.75,1
"Carr, Miss. Jeannie",3,female,37,7.75,0
"Carrau, Mr. Francisco M",1,male,28,47.1,0
"Carrau, Mr. Jose Pedro",1,male,17,47.1,0
"Carter, Master. William Thornton II",1,male,11,120,1
"Carter, Miss. Lucile Polk",1,female,14,120,1
"Carter, Mr. William Ernest",1,male,36,120,1
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",2,female,44,26,0
"Carter, Mrs. William Ernest (Lucile Polk)",1,female,36,120,1
"Carter, Rev. Ernest Courtenay",2,male,54,26,0
"Carver, Mr. Alfred John",3,male,28,7.25,0
"Case, Mr. Howard Brown",1,male,49,26,0
"Cavendish, Mr. Tyrell William",1,male,36,78.85,0
"Celotti, Mr. Francesco",3,male,24,8.05,0
"Chaffee, Mr. Herbert Fuller",1,male,46,61.175,0
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1,female,47,61.175,1
"Chambers, Mr. Norman Campbell",1,male,27,53.1,1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,female,33,53.1,1
"Chapman, Mr. Charles Henry",2,male,52,13.5,0
"Chapman, Mr. John Henry",2,male,37,26,0
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",2,female,29,26,0
"Charters, Mr. David",3,male,21,7.7333,0
"Chaudanson, Miss. Victorine",1,female,36,262.375,1
"Cherry, Miss. Gladys",1,female,30,86.5,1
"Chevre, Mr. Paul Romaine",1,male,45,29.7,1
"Chip, Mr. Chang",3,male,32,56.4958,1
"Christmann, Mr. Emil",3,male,29,8.05,0
"Christy, Miss. Julie Rachel",2,female,25,30,1
"Christy, Mrs. (Alice Frances)",2,female,45,30,1
"Chronopoulos, Mr. Apostolos",3,male,26,14.4542,0
"Chronopoulos, Mr. Demetrios",3,male,18,14.4542,0
"Clark, Mr. Walter Miller",1,male,27,136.7792,0
"Clark, Mrs. Walter Miller (Virginia McDowell)",1,female,26,136.7792,1
"Clarke, Mr. Charles Valentine",2,male,29,26,0
"Clarke, Mrs. Charles V (Ada Maria Winfield)",2,female,28,26,1
"Cleaver, Miss. Alice",1,female,22,151.55,1
"Coelho, Mr. Domingos Fernandeo",3,male,20,7.05,0
"Cohen, Mr. Gurshon ""Gus""",3,male,18,8.05,1
"Colbert, Mr. Patrick",3,male,24,7.25,0
"Coleff, Mr. Peju",3,male,36,7.4958,0
"Coleff, Mr. Satio",3,male,24,7.4958,0
"Coleridge, Mr. Reginald Charles",2,male,29,10.5,0
"Collander, Mr. Erik Gustaf",2,male,28,13,0
"Collett, Mr. Sidney C Stuart",2,male,24,10.5,1
"Colley, Mr. Edward Pomeroy",1,male,47,25.5875,0
"Collyer, Miss. Marjorie ""Lottie""",2,female,8,26.25,1
"Collyer, Mr. Harvey",2,male,31,26.25,0
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",2,female,31,26.25,1
"Compton, Miss. Sara Rebecca",1,female,39,83.1583,1
"Compton, Mr. Alexander Taylor Jr",1,male,37,83.1583,0
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",1,female,64,83.1583,1
"Conlon, Mr. Thomas Henry",3,male,31,7.7333,0
"Connaghton, Mr. Michael",3,male,31,7.75,0
"Connolly, Miss. Kate",3,female,30,7.6292,0
"Connolly, Miss. Kate",3,female,22,7.75,1
"Connors, Mr. Patrick",3,male,70.5,7.75,0
"Cook, Mr. Jacob",3,male,43,8.05,0
"Cook, Mrs. (Selena Rogers)",2,female,22,10.5,1
"Cor, Mr. Bartol",3,male,35,7.8958,0
"Cor, Mr. Ivan",3,male,27,7.8958,0
"Cor, Mr. Liudevit",3,male,19,7.8958,0
"Corbett, Mrs. Walter H (Irene Colvin)",2,female,30,13,0
"Corn, Mr. Harry",3,male,30,8.05,0
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",1,female,55,25.7,1
"Cotterill, Mr. Henry ""Harry""",2,male,21,11.5,0
"Coutts, Master. Eden Leslie ""Neville""",3,male,9,15.9,1
"Coutts, Master. William Loch ""William""",3,male,3,15.9,1
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",3,female,36,15.9,1
"Coxon, Mr. Daniel",3,male,59,7.25,0
"Crease, Mr. Ernest James",3,male,19,8.1583,0
"Cribb, Miss. Laura Alice",3,female,17,16.1,1
"Cribb, Mr. John Hatfield",3,male,44,16.1,0
"Crosby, Capt. Edward Gifford",1,male,70,71,0
"Crosby, Miss. Harriet R",1,female,36,71,1
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",1,female,64,26.55,1
"Culumovic, Mr. Jeso",3,male,17,8.6625,0
"Cumings, Mr. John Bradley",1,male,39,71.2833,0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,female,38,71.2833,1
"Daher, Mr. Shedid",3,male,22.5,7.225,0
"Dahl, Mr. Karl Edwart",3,male,45,8.05,1
"Dahlberg, Miss. Gerda Ulrika",3,female,22,10.5167,0
"Dakic, Mr. Branko",3,male,19,10.1708,0
"Daly, Miss. Margaret Marcella ""Maggie""",3,female,30,6.95,1
"Daly, Mr. Eugene Patrick",3,male,29,7.75,1
"Daly, Mr. Peter Denis ",1,male,51,26.55,1
"Danbom, Master. Gilbert Sigvard Emanuel",3,male,0.33,14.4,0
"Danbom, Mr. Ernst Gilbert",3,male,34,14.4,0
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",3,female,28,14.4,0
"Daniel, Mr. Robert Williams",1,male,27,30.5,1
"Daniels, Miss. Sarah",1,female,33,151.55,1
"Danoff, Mr. Yoto",3,male,27,7.8958,0
"Dantcheff, Mr. Ristiu",3,male,25,7.8958,0
"Davidson, Mr. Thornton",1,male,31,52,0
"Davidson, Mrs. Thornton (Orian Hays)",1,female,27,52,1
"Davies, Master. John Morgan Jr",2,male,8,36.75,1
"Davies, Mr. Alfred J",3,male,24,24.15,0
"Davies, Mr. Charles Henry",2,male,18,73.5,0
"Davies, Mr. Evan",3,male,22,8.05,0
"Davies, Mr. John Samuel",3,male,21,24.15,0
"Davies, Mr. Joseph",3,male,17,8.05,0
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",2,female,48,36.75,1
"Davis, Miss. Mary",2,female,28,13,1
"de Brito, Mr. Jose Joaquim",2,male,32,13,0
"de Messemaeker, Mr. Guillaume Joseph",3,male,36.5,17.4,1
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",3,female,36,17.4,1
"de Mulder, Mr. Theodore",3,male,30,9.5,1
"de Pelsmaeker, Mr. Alfons",3,male,16,9.5,0
"Deacon, Mr. Percy William",2,male,17,73.5,0
"Dean, Master. Bertram Vere",3,male,1,20.575,1
"Dean, Miss. Elizabeth Gladys ""Millvina""",3,female,0.17,20.575,1
"Dean, Mr. Bertram Frank",3,male,26,20.575,0
"Dean, Mrs. Bertram (Eva Georgetta Light)",3,female,33,20.575,1
"del Carlo, Mr. Sebastiano",2,male,29,27.7208,0
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",2,female,24,27.7208,1
"Delalic, Mr. Redjo",3,male,25,7.8958,0
"Denbury, Mr. Herbert",2,male,25,31.5,0
"Dennis, Mr. Samuel",3,male,22,7.25,0
"Dennis, Mr. William",3,male,36,7.25,0
"Devaney, Miss. Margaret Delia",3,female,19,7.8792,1
"Dibden, Mr. William",2,male,18,73.5,0
"Dick, Mr. Albert Adrian",1,male,31,57,1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,female,17,57,1
"Dika, Mr. Mirko",3,male,17,7.8958,0
"Dimic, Mr. Jovan",3,male,42,8.6625,0
"Dintcheff, Mr. Valtcho",3,male,43,7.8958,0
"Dodge, Dr. Washington",1,male,53,81.8583,1
"Dodge, Master. Washington",1,male,4,81.8583,1
"Dodge, Mrs. Washington (Ruth Vidaver)",1,female,54,81.8583,1
"Doling, Miss. Elsie",2,female,18,23,1
"Doling, Mrs. John T (Ada Julia Bone)",2,female,34,23,1
"Dooley, Mr. Patrick",3,male,32,7.75,0
"Dorking, Mr. Edward Arthur",3,male,19,8.05,1
"Douglas, Mr. Walter Donald",1,male,50,106.425,0
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",1,female,27,247.5208,1
"Douglas, Mrs. Walter Donald (Mahala Dutton)",1,female,48,106.425,1
"Dowdell, Miss. Elizabeth",3,female,30,12.475,1
"Downton, Mr. William James",2,male,54,26,0
"Doyle, Miss. Elizabeth",3,female,24,7.75,0
"Drapkin, Miss. Jennie",3,female,23,8.05,1
"Drazenoic, Mr. Jozef",3,male,33,7.8958,0
"Drew, Master. Marshall Brines",2,male,8,32.5,1
"Drew, Mr. James Vivian",2,male,42,32.5,0
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",2,female,34,32.5,1
"Duane, Mr. Frank",3,male,65,7.75,0
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,female,48,39.6,1
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,male,49,56.9292,1
"Dulles, Mr. William Crothers",1,male,39,29.7,0
"Duquemin, Mr. Joseph",3,male,24,7.55,1
"Duran y More, Miss. Asuncion",2,female,27,13.8583,1
"Duran y More, Miss. Florentina",2,female,30,13.8583,1
"Dyker, Mr. Adolf Fredrik",3,male,23,13.9,0
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",3,female,22,13.9,1
